#,title,artist,href,file,title (max32)
188,Croise les doigts,Tizzo & Shreez & Le Ice (Ft. Peeda & Salgrimo ),https://genius.com/Tizzo-and-shreez-and-le-ice-croise-les-doigts-lyrics,Tizzo-and-shreez-and-le-ice-croise-les-doigts,Tizzo-and-shreez-and-le-ice-croi
189,Poséidon,Lost (Ft. Demso & Ryan (QC) ),https://genius.com/Lost-poseidon-lyrics,Lost-poseidon,Lost-poseidon
190,Avenir,Rowjay (Ft. Serane ),https://genius.com/Rowjay-avenir-lyrics,Rowjay-avenir,Rowjay-avenir
191,Légendaire,"Imposs (Ft. Loud , Rymz , Tizzo & White-B )",https://genius.com/Imposs-legendaire-lyrics,Imposs-legendaire,Imposs-legendaire
192,Marche vitale,Manu Militari,https://genius.com/Manu-militari-marche-vitale-lyrics,Manu-militari-marche-vitale,Manu-militari-marche-vitale
193,Les âmes perdues,Manu Militari,https://genius.com/Manu-militari-les-ames-perdues-lyrics,Manu-militari-les-ames-perdues,Manu-militari-les-ames-perdues
194,Gruau,Loud Lary Ajust,https://genius.com/Loud-lary-ajust-gruau-lyrics,Loud-lary-ajust-gruau,Loud-lary-ajust-gruau
195,La Purge,Random (QC) (Ft. White-B ),https://genius.com/Random-qc-la-purge-lyrics,Random-qc-la-purge,Random-qc-la-purge
196,All In,Les Anticipateurs,https://genius.com/Les-anticipateurs-all-in-lyrics,Les-anticipateurs-all-in,Les-anticipateurs-all-in
197,Cette nuit,Enima (Ft. Russkov ),https://genius.com/Enima-cette-nuit-lyrics,Enima-cette-nuit,Enima-cette-nuit
198,Maybach,Enima,https://genius.com/Enima-maybach-lyrics,Enima-maybach,Enima-maybach
199,Cabane à Sucre,Les Anticipateurs,https://genius.com/Les-anticipateurs-cabane-a-sucre-lyrics,Les-anticipateurs-cabane-a-sucre,Les-anticipateurs-cabane-a-sucre
200,Tony Hawk,Dead Obies,https://genius.com/Dead-obies-tony-hawk-lyrics,Dead-obies-tony-hawk,Dead-obies-tony-hawk
