#,title,artist,href
217,Booska MMS,Enima,https://genius.com/Enima-booska-mms-lyrics
218,T'aimes un bad boy,Sir Pathétik (Ft. 01 Etranjj & Yvon Krevé ),https://genius.com/Sir-pathetik-taimes-un-bad-boy-lyrics
219,Dédicace,Manu Militari,https://genius.com/Manu-militari-dedicace-lyrics
220,Start Over,Planet Giza,https://genius.com/Planet-giza-start-over-lyrics
221,Sac de sport,Lary Kidd (Ft. Loud ),https://genius.com/Lary-kidd-sac-de-sport-lyrics
222,3.5,Shreez,https://genius.com/Shreez-35-lyrics
223,J'ai ReBesoin,Les Anticipateurs,https://genius.com/Les-anticipateurs-jai-rebesoin-lyrics
224,Rocky Balboa,Lost,https://genius.com/Lost-rocky-balboa-lyrics
225,Dans la peau (Anxiety),Yes Mccan,https://genius.com/Yes-mccan-dans-la-peau-anxiety-lyrics
226,50 Barres Outro,Jeune Loup,https://genius.com/Jeune-loup-50-barres-outro-lyrics
227,EGK,Gutta (Ft. VT ),https://genius.com/Gutta-egk-lyrics
228,Léonidas,Lost,https://genius.com/Lost-leonidas-lyrics
229,Salles combles,Loud,https://genius.com/Loud-salles-combles-lyrics
230,Price,Enima,https://genius.com/Enima-price-lyrics
231,Double vision,White-B,https://genius.com/White-b-double-vision-lyrics
232,Les mots,Samian (Ft. Anodajay ),https://genius.com/Samian-les-mots-lyrics
233,Ce monde là,Lary Kidd,https://genius.com/Lary-kidd-ce-monde-la-lyrics
234,Mula,"MB , Lost & White-B",https://genius.com/Mb-lost-and-white-b-mula-lyrics
235,Devil,Enima,https://genius.com/Enima-devil-lyrics
236,Je t'aime,Rymz,https://genius.com/Rymz-je-taime-lyrics
237,Pinata,Shreez (Ft. Peeda & Tizzo ),https://genius.com/Shreez-pinata-lyrics
238,Nouveau soleil,Souldia (Ft. Eman & FouKi ),https://genius.com/Souldia-nouveau-soleil-lyrics
239,Tout est dit,Manu Militari,https://genius.com/Manu-militari-tout-est-dit-lyrics
240,Do or Die,Dead Obies,https://genius.com/Dead-obies-do-or-die-lyrics
241,Chacalcolik vs Yes Mccan,WordUP! Battles (Ft. Chacalcolik & Yes Mccan ),https://genius.com/Wordup-battles-chacalcolik-vs-yes-mccan-lyrics
242,Oragio,Rod le Stod,https://genius.com/Rod-le-stod-oragio-lyrics
243,Mary Jane,Enima (Ft. Phobia Isaac ),https://genius.com/Enima-mary-jane-lyrics
244,Désarmé jusqu'aux dents,Taktika,https://genius.com/Taktika-desarme-jusquaux-dents-lyrics
245,Fake nigga,Lost,https://genius.com/Lost-fake-nigga-lyrics
246,Instinct Animal,Jeune Loup,https://genius.com/Jeune-loup-instinct-animal-lyrics
247,Game Over,Dead Obies (Ft. Naadei ),https://genius.com/Dead-obies-game-over-lyrics
248,La vraie musique de nègres,Roi Heenok,https://genius.com/Roi-heenok-la-vraie-musique-de-negres-lyrics
249,Ting Tun Up,Skiifall,https://genius.com/Skiifall-ting-tun-up-lyrics
250,Tout C'Qui Faut,Koriass & FouKi,https://genius.com/Koriass-and-fouki-tout-cqui-faut-lyrics
251,Come Thru,Rymz (Ft. D4vid Lee & Gvong ),https://genius.com/Rymz-come-thru-lyrics
252,Gagnant,Koriass,https://genius.com/Koriass-gagnant-lyrics
253,Bandito Story,Lost,https://genius.com/Lost-bandito-story-lyrics
254,Krève,Rymz (Ft. Souldia ),https://genius.com/Rymz-kreve-lyrics
255,Plus Haut,Koriass,https://genius.com/Koriass-plus-haut-lyrics
256,Périmètre,MB,https://genius.com/Mb-perimetre-lyrics
257,L’étage souterrain,Sans Pression (Ft. Le Youngin' & Yvon Krevé ),https://genius.com/Sans-pression-letage-souterrain-lyrics
258,Cicatrices,HYESOS BLYA (Ft. Cyrus (Random Trio) ),https://genius.com/Hyesos-blya-cicatrices-lyrics
259,Longues vies,Loud,https://genius.com/Loud-longues-vies-lyrics
260,I love U,Souldia,https://genius.com/Souldia-i-love-u-lyrics
261,$ud $ale,Dead Obies,https://genius.com/Dead-obies-ud-sale-lyrics
262,Allo Allo,Dead Obies (Ft. Naadei ),https://genius.com/Dead-obies-allo-allo-lyrics
263,Pas sortables,Loud,https://genius.com/Loud-pas-sortables-lyrics
264,La famille,Alaclair Ensemble,https://genius.com/Alaclair-ensemble-la-famille-lyrics
265,Une lettre pour Milan,Souldia,https://genius.com/Souldia-une-lettre-pour-milan-lyrics
266,La petite négresse à bicyclette,Roi Heenok,https://genius.com/Roi-heenok-la-petite-negresse-a-bicyclette-lyrics
267,Bip Bip,"Lost (Ft. BABA (QC) , Boris Levrai , Ryan (QC) & YH )",https://genius.com/Lost-bip-bip-lyrics
268,Over,Yes Mccan,https://genius.com/Yes-mccan-over-lyrics
269,Diablo,Souldia (Ft. TRONEL ),https://genius.com/Souldia-diablo-lyrics
270,Zeya,FouKi,https://genius.com/Fouki-zeya-lyrics
271,Marina,Enima,https://genius.com/Enima-marina-lyrics
272,Mets du respect dans ton bac,Alaclair Ensemble (Ft. Tizzo ),https://genius.com/Alaclair-ensemble-mets-du-respect-dans-ton-bac-lyrics
273,Le cœur gros comme ça,Souldia,https://genius.com/Souldia-le-cur-gros-comme-ca-lyrics
274,Devil en l'air,Souldia,https://genius.com/Souldia-devil-en-lair-lyrics
